endTime,artistName,trackName,msPlayed,dia,año_mes,fecha_año_mes
2025-02-22 21:36,The Doors,Soul Kitchen,82172,22,2025-02,2025-02-01
2025-03-09 21:42,CA7RIEL & Paco Amoroso,IMPOSTOR,156991,9,2025-03,2025-03-01
2025-03-09 21:45,CA7RIEL & Paco Amoroso,#TETAS,148409,9,2025-03,2025-03-01
2025-03-09 21:48,CA7RIEL & Paco Amoroso,RE FORRO,184935,9,2025-03,2025-03-01
2025-03-10 23:45,CA7RIEL & Paco Amoroso,EL DÍA DEL AMIGO,72788,10,2025-03,2025-03-01
2025-03-10 23:45,CA7RIEL & Paco Amoroso,EL DÍA DEL AMIGO,960,10,2025-03,2025-03-01
2025-03-10 23:49,Lady Gaga,Disease,1749,10,2025-03,2025-03-01
2025-03-10 23:49,Ghost,Satanized,116053,10,2025-03,2025-03-01
2025-03-15 06:25,Lady Gaga,Disease,227542,15,2025-03,2025-03-01
2025-03-15 18:17,Lady Gaga,Abracadabra,222432,15,2025-03,2025-03-01
2025-03-15 20:03,Lady Gaga,Garden Of Eden,17243,15,2025-03,2025-03-01
2025-03-15 20:19,Mort Garson,Plantasia,103303,15,2025-03,2025-03-01
2025-03-15 20:31,Mort Garson,Plantasia,50155,15,2025-03,2025-03-01
2025-03-15 21:10,Mort Garson,Plantasia,46989,15,2025-03,2025-03-01
2025-03-15 21:12,Mort Garson,Symphony for a Spider Plant,33074,15,2025-03,2025-03-01
2025-03-15 22:40,Lady Gaga,Garden Of Eden,59114,15,2025-03,2025-03-01
2025-03-15 22:41,Mort Garson,Plantasia,28523,15,2025-03,2025-03-01
2025-03-15 22:45,Lady Gaga,Perfect Celebrity,228330,15,2025-03,2025-03-01
2025-03-15 22:46,Lady Gaga,Vanish Into You,72550,15,2025-03,2025-03-01
2025-03-16 20:06,Lady Gaga,Vanish Into You,171435,16,2025-03,2025-03-01
2025-03-16 20:09,Lady Gaga,Killah (feat. Gesaffelstein),209698,16,2025-03,2025-03-01
2025-03-16 20:13,Lady Gaga,Zombieboy,212337,16,2025-03,2025-03-01
2025-03-16 20:16,Lady Gaga,LoveDrug,192280,16,2025-03,2025-03-01
2025-03-16 20:35,Lady Gaga,How Bad Do U Want Me,215815,16,2025-03,2025-03-01
2025-03-16 20:36,Mort Garson,Plantasia,9024,16,2025-03,2025-03-01
2025-03-16 23:20,Lady Gaga,Zombieboy,151722,16,2025-03,2025-03-01
2025-03-16 23:23,Six Sex,Tócame (feat. Dillom),138197,16,2025-03,2025-03-01
2025-03-16 23:24,Lady Gaga,LoveDrug,98751,16,2025-03,2025-03-01
2025-03-16 23:26,Doechii,STANKA POOH,120448,16,2025-03,2025-03-01
2025-03-16 23:27,Doechii,BULLFROG,16849,16,2025-03,2025-03-01
2025-03-16 23:29,AgusFortnite2008,"EL MOROCHO, EL RUBIO Y EL COLO",145023,16,2025-03,2025-03-01
2025-03-16 23:32,Tussiwarriors,Todo Maldito,175233,16,2025-03,2025-03-01
2025-03-16 23:35,Doechii,BOILED PEANUTS,120896,16,2025-03,2025-03-01
2025-03-16 23:37,Doechii,DENIAL IS A RIVER,158632,16,2025-03,2025-03-01
2025-03-16 23:40,Doechii,CATFISH,133126,16,2025-03,2025-03-01
2025-03-16 23:41,Doechii,SKIPP,99658,16,2025-03,2025-03-01
2025-03-17 10:29,Doechii,HIDE N SEEK,25636,17,2025-03,2025-03-01
2025-03-18 00:40,Doechii,HIDE N SEEK,8197,18,2025-03,2025-03-01
2025-03-18 00:43,CA7RIEL & Paco Amoroso,IMPOSTOR,156966,18,2025-03,2025-03-01
2025-03-18 00:45,CA7RIEL & Paco Amoroso,#TETAS,148426,18,2025-03,2025-03-01
2025-03-18 00:49,CA7RIEL & Paco Amoroso,RE FORRO,184931,18,2025-03,2025-03-01
2025-03-18 00:51,CA7RIEL & Paco Amoroso,EL DÍA DEL AMIGO,169075,18,2025-03,2025-03-01
2025-03-18 00:54,CA7RIEL & Paco Amoroso,DUMBAI - Live at NPR MUSIC's Tiny Desk,160995,18,2025-03,2025-03-01
2025-03-18 00:57,CA7RIEL & Paco Amoroso,MI DESEO/BAD BITCH - Live at NPR MUSIC's Tiny Desk,3551,18,2025-03,2025-03-01
2025-03-18 00:57,CA7RIEL & Paco Amoroso,EL ÚNICO - Live at NPR MUSIC's Tiny Desk,185860,18,2025-03,2025-03-01
2025-03-18 00:57,CA7RIEL & Paco Amoroso,BABY GANGSTA - Live at NPR MUSIC's Tiny Desk,2159,18,2025-03,2025-03-01
2025-03-18 01:03,CA7RIEL & Paco Amoroso,"LA QUE PUEDE, PUEDE - Live at NPR MUSIC's Tiny Desk",108948,18,2025-03,2025-03-01
2025-03-18 20:06,CA7RIEL & Paco Amoroso,IMPOSTOR,156970,18,2025-03,2025-03-01
2025-03-18 20:09,CA7RIEL & Paco Amoroso,#TETAS,148430,18,2025-03,2025-03-01
2025-03-18 20:12,CA7RIEL & Paco Amoroso,RE FORRO,184935,18,2025-03,2025-03-01
2025-03-18 20:14,CA7RIEL & Paco Amoroso,EL DÍA DEL AMIGO,169044,18,2025-03,2025-03-01
2025-03-18 20:17,CA7RIEL & Paco Amoroso,DUMBAI - Live at NPR MUSIC's Tiny Desk,160989,18,2025-03,2025-03-01
2025-03-18 20:20,CA7RIEL & Paco Amoroso,EL ÚNICO - Live at NPR MUSIC's Tiny Desk,185864,18,2025-03,2025-03-01
2025-03-18 20:45,CA7RIEL & Paco Amoroso,MI DESEO/BAD BITCH - Live at NPR MUSIC's Tiny Desk,259741,18,2025-03,2025-03-01
2025-03-18 20:48,CA7RIEL & Paco Amoroso,BABY GANGSTA - Live at NPR MUSIC's Tiny Desk,182579,18,2025-03,2025-03-01
2025-03-18 21:54,CA7RIEL & Paco Amoroso,"LA QUE PUEDE, PUEDE - Live at NPR MUSIC's Tiny Desk",35293,18,2025-03,2025-03-01
2025-03-18 21:54,Ghost,Ashes,618,18,2025-03,2025-03-01
2025-03-18 23:06,Ghost,Rats,860,18,2025-03,2025-03-01
2025-03-18 23:06,Ghost,Ashes,7500,18,2025-03,2025-03-01
2025-03-18 23:07,Ghost,Ashes,80190,18,2025-03,2025-03-01
2025-03-18 23:13,Ghost,Rats,260610,18,2025-03,2025-03-01
2025-03-18 23:18,Ghost,Faith,268736,18,2025-03,2025-03-01
2025-03-19 01:57,Ghost,See The Light,244200,19,2025-03,2025-03-01
2025-03-19 14:00,Ghost,Miasma,73990,19,2025-03,2025-03-01
2025-03-19 16:57,CA7RIEL & Paco Amoroso,IMPOSTOR,10026,19,2025-03,2025-03-01
2025-03-20 14:33,Thundercat,HooooooO,1791,20,2025-03,2025-03-01
2025-03-21 16:43,Donna Summer,"Hot Stuff - 12"" Version",407053,21,2025-03,2025-03-01
2025-03-21 16:47,James Brown,People Get Up And Drive Your Funky Soul - Remix,222932,21,2025-03,2025-03-01
2025-03-21 16:51,Basement Jaxx,Where's Your Head At,285533,21,2025-03,2025-03-01
2025-03-21 16:56,"Earth, Wind & Fire",Boogie Wonderland (with The Emotions),288600,21,2025-03,2025-03-01
2025-03-21 16:59,"Earth, Wind & Fire",Dance Dance Dance,192280,21,2025-03,2025-03-01
2025-03-21 17:03,Bee Gees,"Night Fever - From ""Saturday Night Fever"" Soundtrack",212253,21,2025-03,2025-03-01
2025-03-21 17:08,Heatwave,Boogie Nights,303640,21,2025-03,2025-03-01
2025-03-21 17:13,Jamiroquai,(Don't) Give Hate a Chance,300226,21,2025-03,2025-03-01
2025-03-22 02:45,Bee Gees,You Should Be Dancing,177535,22,2025-03,2025-03-01
2025-03-22 02:45,Tom Misch,Old Man,0,22,2025-03,2025-03-01
2025-03-22 02:45,Tom Misch,Old Man,1911,22,2025-03,2025-03-01
2025-03-22 12:48,Tom Misch,Old Man,180,22,2025-03,2025-03-01
2025-03-22 14:08,Ghost,Rats,11085,22,2025-03,2025-03-01
2025-03-22 14:08,Ghost,Ashes,80170,22,2025-03,2025-03-01
2025-03-23 22:02,Tom Misch,Old Man,0,23,2025-03,2025-03-01
2025-03-23 23:45,Ghost,Rats,249780,23,2025-03,2025-03-01
2025-03-23 23:50,Ghost,Faith,268735,23,2025-03,2025-03-01
2025-03-23 23:54,Ghost,See The Light,244178,23,2025-03,2025-03-01
2025-03-23 23:59,Ghost,Miasma,316828,23,2025-03,2025-03-01
2025-03-24 00:03,Ghost,Dance Macabre,218748,24,2025-03,2025-03-01
2025-03-24 00:08,Ghost,Pro Memoria,338268,24,2025-03,2025-03-01
2025-03-24 00:12,Ghost,Witch Image,209338,24,2025-03,2025-03-01
2025-03-24 00:30,Ghost,Helvetesfonster,105338,24,2025-03,2025-03-01
2025-03-24 02:56,Ghost,Helvetesfonster,238588,24,2025-03,2025-03-01
2025-03-24 03:48,Ghost,Helvetesfonster,11499,24,2025-03,2025-03-01
2025-03-24 03:51,Ghost,Life Eternal,207120,24,2025-03,2025-03-01
2025-03-24 03:57,Ghost,Square Hammer,70186,24,2025-03,2025-03-01
2025-03-24 17:33,Muse,Psycho,896,24,2025-03,2025-03-01
2025-03-24 17:33,Foster The People,Pumped Up Kicks,9237,24,2025-03,2025-03-01
2025-03-24 17:33,Ghost,Square Hammer,1365,24,2025-03,2025-03-01
2025-03-24 18:59,Ghost,Mary On A Cross,244804,24,2025-03,2025-03-01
2025-03-24 20:48,Ghost,Satanized,236800,24,2025-03,2025-03-01
2025-03-24 20:52,Ghost,Square Hammer,239293,24,2025-03,2025-03-01
2025-03-24 21:06,Ghost,Dance Macabre,95159,24,2025-03,2025-03-01
2025-03-24 22:11,Unknown Artist,Unknown Track,1450,24,2025-03,2025-03-01
2025-03-24 22:13,CA7RIEL & Paco Amoroso,#TETAS,149394,24,2025-03,2025-03-01
2025-03-24 22:17,Matt Duncan,The Keys,217058,24,2025-03,2025-03-01
2025-03-24 22:20,Parcels,"Comedown - from Hansa Studios, Berlin",205116,24,2025-03,2025-03-01
2025-03-24 22:29,Winona Riders,680/680,255835,24,2025-03,2025-03-01
2025-03-24 22:32,Unknown Artist,Unknown Track,8933,24,2025-03,2025-03-01
2025-03-24 22:32,Unknown Artist,Unknown Track,4545,24,2025-03,2025-03-01
2025-03-24 22:32,Spinetta Y Los Socios Del Desierto,Oh! Magnolia,196560,24,2025-03,2025-03-01
2025-03-24 22:35,Mac DeMarco,The Stars Keep On Calling My Name,142769,24,2025-03,2025-03-01
2025-03-24 22:37,1915,Extranjero,106888,24,2025-03,2025-03-01
2025-03-24 22:40,Isla de Caras,Despacio,185994,24,2025-03,2025-03-01
2025-03-24 22:44,Parcels,"Gamesofluck - from Hansa Studios, Berlin",218208,24,2025-03,2025-03-01
2025-03-24 22:49,Matt Duncan,Rube Goldberg Machine,138571,24,2025-03,2025-03-01
2025-03-24 22:49,Unknown Artist,Unknown Track,3474,24,2025-03,2025-03-01
2025-03-24 22:50,Unknown Artist,Unknown Track,8515,24,2025-03,2025-03-01
2025-03-25 00:59,Winona Riders,Dopamina,289082,25,2025-03,2025-03-01
2025-03-25 01:00,Thundercat,Show You The Way,7893,25,2025-03,2025-03-01
2025-03-25 01:09,Ghost,Square Hammer - Live In The U.S.A. / 2017,262677,25,2025-03,2025-03-01
2025-03-25 01:12,Ghost,From The Pinnacle To The Pit - Live In The U.S.A. / 2017,169960,25,2025-03,2025-03-01
2025-03-25 20:06,Ghost,From The Pinnacle To The Pit - Live In The U.S.A. / 2017,85248,25,2025-03,2025-03-01
2025-03-25 20:10,Ghost,Con Clavi Con Dio - Live In The U.S.A. / 2017,232259,25,2025-03,2025-03-01
2025-03-25 20:41,Ghost,Per Aspera Ad Inferi - Live In The U.S.A. / 2017,274949,25,2025-03,2025-03-01
2025-03-25 23:11,Ghost,Per Aspera Ad Inferi - Live In The U.S.A. / 2017,24800,25,2025-03,2025-03-01
2025-03-25 23:15,Ghost,Body And Blood - Live In The U.S.A. / 2017,232498,25,2025-03,2025-03-01
2025-03-25 23:17,Ghost,Devil Church - Live In The U.S.A. / 2017,136822,25,2025-03,2025-03-01
2025-03-25 23:23,Ghost,Cirice - Live In The U.S.A. / 2017,358845,25,2025-03,2025-03-01
2025-03-26 20:01,Ghost,Ghuleh / Zombie Queen - Live In The U.S.A. / 2017,238523,26,2025-03,2025-03-01
2025-03-26 20:01,Unknown Artist,Unknown Track,1365,26,2025-03,2025-03-01
2025-03-26 20:07,CA7RIEL & Paco Amoroso,IMPOSTOR,157937,26,2025-03,2025-03-01
2025-03-26 20:10,Mac DeMarco,Freaking Out the Neighborhood,173888,26,2025-03,2025-03-01
2025-03-26 20:10,Ghost,Ashes,28837,26,2025-03,2025-03-01
2025-03-26 21:54,Parcels,"Bemyself - from Hansa Studios, Berlin",6741,26,2025-03,2025-03-01
2025-03-27 20:05,Parcels,"Bemyself - from Hansa Studios, Berlin",152555,27,2025-03,2025-03-01
2025-03-27 20:05,Unknown Artist,Unknown Track,0,27,2025-03,2025-03-01
2025-03-27 20:05,Parcels,"Comedown - from Hansa Studios, Berlin",64,27,2025-03,2025-03-01
2025-03-27 20:07,CA7RIEL & Paco Amoroso,#TETAS,149394,27,2025-03,2025-03-01
2025-03-27 20:07,Parcels,"Comedown - from Hansa Studios, Berlin",6799,27,2025-03,2025-03-01
2025-03-27 20:12,Winona Riders,680/680,255835,27,2025-03,2025-03-01
2025-03-27 20:15,Spinetta Y Los Socios Del Desierto,Oh! Magnolia,196560,27,2025-03,2025-03-01
2025-03-27 20:18,Matt Duncan,Rube Goldberg Machine,138571,27,2025-03,2025-03-01
2025-03-27 20:18,Unknown Artist,Unknown Track,1880,27,2025-03,2025-03-01
2025-03-27 20:18,Unknown Artist,Unknown Track,9221,27,2025-03,2025-03-01
2025-03-27 21:46,Bandalos Chinos,Isla,92671,27,2025-03,2025-03-01
2025-03-27 21:48,Parcels,"Everyroad - from Hansa Studios, Berlin",1280,27,2025-03,2025-03-01
2025-03-27 21:48,Bandalos Chinos,Isla,119890,27,2025-03,2025-03-01
2025-03-27 21:48,Justice,On'n'On,9660,27,2025-03,2025-03-01
2025-03-27 21:48,Mac DeMarco,The Stars Keep On Calling My Name,1910,27,2025-03,2025-03-01
2025-03-27 21:52,Justice,Genesis,233990,27,2025-03,2025-03-01
2025-03-27 22:57,Justice,Let There Be Light,294970,27,2025-03,2025-03-01
2025-03-27 23:01,Justice,D.A.N.C.E.,241293,27,2025-03,2025-03-01
2025-03-27 23:05,Justice,Newjack,215926,27,2025-03,2025-03-01
2025-03-27 23:10,Justice,Phantom,261283,27,2025-03,2025-03-01
2025-03-27 23:13,Justice,Phantom Pt. II,199866,27,2025-03,2025-03-01
2025-03-27 23:17,Justice,Valentine,83070,27,2025-03,2025-03-01
2025-03-28 00:36,Ghost,Kiss The Go-Goat,85930,28,2025-03,2025-03-01
2025-03-28 00:38,Ghost,Per Aspera Ad Inferi,100053,28,2025-03,2025-03-01
2025-03-28 00:39,Ghost,If You Have Ghosts,70848,28,2025-03,2025-03-01
2025-03-28 00:40,Ghost,See No Evil,21333,28,2025-03,2025-03-01
2025-03-28 00:43,Ghost,Jesus He Knows Me,219242,28,2025-03,2025-03-01
2025-03-28 00:44,Ghost,Hanging Around,1770,28,2025-03,2025-03-01
2025-03-28 20:04,Ghost,Hanging Around,2433,28,2025-03,2025-03-01
2025-03-28 20:04,Unknown Artist,Unknown Track,4728,28,2025-03,2025-03-01
2025-03-28 20:04,Unknown Artist,Unknown Track,702,28,2025-03,2025-03-01
2025-03-28 20:07,CA7RIEL & Paco Amoroso,IMPOSTOR,157937,28,2025-03,2025-03-01
2025-03-28 20:09,Parcels,"Myenemy - from Hansa Studios, Berlin",47386,28,2025-03,2025-03-01
2025-03-28 20:17,Winona Riders,V.V.,468622,28,2025-03,2025-03-01
2025-03-28 21:19,Kendrick Lamar,reincarnated,170886,28,2025-03,2025-03-01
2025-03-28 21:21,Ghost,Infestissumam,101447,28,2025-03,2025-03-01
2025-03-28 21:25,Ghost,Per Aspera Ad Inferi,248171,28,2025-03,2025-03-01
2025-03-28 21:30,Ghost,SECULAR HAZE,310357,28,2025-03,2025-03-01
2025-03-28 21:34,Ghost,Jigolo Har Megiddo,237841,28,2025-03,2025-03-01
2025-03-28 21:35,Justice,Safe and Sound,2089,28,2025-03,2025-03-01
2025-03-28 21:35,Ghost,Ghuleh / Zombie Queen,71010,28,2025-03,2025-03-01
2025-03-28 21:35,Unknown Artist,Unknown Track,626,28,2025-03,2025-03-01
2025-03-28 21:35,Parcels,"Lightenup - from Hansa Studios, Berlin",1393,28,2025-03,2025-03-01
2025-03-28 21:35,Mac DeMarco,Robson Girl,1044,28,2025-03,2025-03-01
2025-03-28 21:44,Matt Duncan,1000 Boys,41679,28,2025-03,2025-03-01
2025-03-29 01:55,Patrice Rushen,Forget Me Nots - Remastered,7936,29,2025-03,2025-03-01
2025-03-29 01:56,1915,Policía,1109,29,2025-03,2025-03-01
2025-03-29 01:56,2Pac,Keep Ya Head Up,15445,29,2025-03,2025-03-01
2025-03-29 02:15,Tussiwarriors,Todo Maldito,13418,29,2025-03,2025-03-01
2025-03-29 13:14,Unknown Artist,Unknown Track,0,29,2025-03,2025-03-01
2025-03-29 13:23,Loaded Honey,Only Gonna Let You Down,155605,29,2025-03,2025-03-01
2025-03-29 22:13,Foo Fighters,Everlong,250546,29,2025-03,2025-03-01
2025-03-29 22:18,Foo Fighters,The Pretender,269373,29,2025-03,2025-03-01
2025-03-29 22:22,Foo Fighters,Learn to Fly,235293,29,2025-03,2025-03-01
2025-03-29 22:26,Foo Fighters,Best of You,255626,29,2025-03,2025-03-01
2025-03-29 22:30,Foo Fighters,My Hero,260026,29,2025-03,2025-03-01
2025-03-29 22:35,Foo Fighters,All My Life,263440,29,2025-03,2025-03-01
2025-03-29 23:19,Foo Fighters,Walk,458085,29,2025-03,2025-03-01
2025-03-29 23:21,Foo Fighters,Big Me,132840,29,2025-03,2025-03-01
2025-03-29 23:25,Foo Fighters,Monkey Wrench,231480,29,2025-03,2025-03-01
2025-03-29 23:29,Foo Fighters,Times Like These,265560,29,2025-03,2025-03-01
2025-03-29 23:34,Foo Fighters,These Days,298266,29,2025-03,2025-03-01
2025-03-29 23:35,Foo Fighters,Wheels,9035,29,2025-03,2025-03-01
2025-03-29 23:35,Foo Fighters,The Sky Is A Neighborhood,2229,29,2025-03,2025-03-01
2025-03-29 23:44,Foo Fighters,Breakout,65248,29,2025-03,2025-03-01
2025-03-30 00:46,Loaded Honey,Only Gonna Let You Down,186188,30,2025-03,2025-03-01
2025-03-30 00:49,Loaded Honey,Homemade Gun,168073,30,2025-03,2025-03-01
2025-03-30 00:51,Loaded Honey,Only For You,155442,30,2025-03,2025-03-01
2025-03-30 01:03,Unknown Artist,Unknown Track,4288,30,2025-03,2025-03-01
2025-03-30 01:03,Unknown Artist,Unknown Track,8176,30,2025-03,2025-03-01
2025-03-30 01:03,Loaded Honey,Say What You Want,38235,30,2025-03,2025-03-01
2025-03-30 01:06,CA7RIEL & Paco Amoroso,#TETAS,149394,30,2025-03,2025-03-01
2025-03-30 01:06,Parcels,"Comedown - from Hansa Studios, Berlin",42058,30,2025-03,2025-03-01
2025-03-30 01:09,CA7RIEL & Paco Amoroso,EL DÍA DEL AMIGO,170038,30,2025-03,2025-03-01
2025-03-30 01:12,CA7RIEL & Paco Amoroso,IMPOSTOR,157937,30,2025-03,2025-03-01
2025-03-30 01:12,Mort Garson,Plantasia,36501,30,2025-03,2025-03-01
2025-03-30 01:12,Mac DeMarco,The Stars Keep On Calling My Name,2415,30,2025-03,2025-03-01
2025-03-30 01:17,Winona Riders,680/680,255835,30,2025-03,2025-03-01
2025-03-30 01:17,Unknown Artist,Unknown Track,10396,30,2025-03,2025-03-01
2025-03-30 01:17,Unknown Artist,Unknown Track,3004,30,2025-03,2025-03-01
2025-03-30 01:19,Parcels,"Gamesofluck - from Hansa Studios, Berlin",2602,30,2025-03,2025-03-01
2025-03-30 01:19,Matt Duncan,Rube Goldberg Machine,111725,30,2025-03,2025-03-01
2025-03-30 01:19,Silvestre y La Naranja,El Instinto,2986,30,2025-03,2025-03-01
2025-03-30 01:23,Ghost,Life Eternal,207120,30,2025-03,2025-03-01
2025-03-30 01:25,Unknown Artist,Unknown Track,2533,30,2025-03,2025-03-01
2025-03-30 01:25,Unknown Artist,Unknown Track,7601,30,2025-03,2025-03-01
2025-03-30 01:25,Thundercat,Bus In These Streets,144000,30,2025-03,2025-03-01
2025-03-30 01:26,Lady Gaga,Zombieboy,20600,30,2025-03,2025-03-01
2025-03-30 01:26,CA7RIEL & Paco Amoroso,EL ÚNICO - Live at NPR MUSIC's Tiny Desk,5460,30,2025-03,2025-03-01
2025-03-30 01:29,Lady Gaga,Zombieboy,213337,30,2025-03,2025-03-01
2025-03-30 01:32,CA7RIEL & Paco Amoroso,EL ÚNICO - Live at NPR MUSIC's Tiny Desk,186837,30,2025-03,2025-03-01
2025-03-30 01:34,Doechii,STANKA POOH,121412,30,2025-03,2025-03-01
2025-03-30 01:37,Adicta,La Fox,158147,30,2025-03,2025-03-01
2025-03-30 01:41,Ghost,Satanized,236800,30,2025-03,2025-03-01
2025-03-30 01:41,Drake,In My Feelings,3003,30,2025-03,2025-03-01
2025-03-30 01:41,Unknown Artist,Unknown Track,10161,30,2025-03,2025-03-01
2025-03-30 01:41,Unknown Artist,Unknown Track,3369,30,2025-03,2025-03-01
2025-03-30 01:45,Emmanuel Horvilleur,Yo Soy la Disco,203196,30,2025-03,2025-03-01
2025-03-30 01:51,Winona Riders,Dopamina,375107,30,2025-03,2025-03-01
2025-03-30 01:54,Jungle,Holding On,196241,30,2025-03,2025-03-01
2025-03-30 01:57,Unknown Artist,Unknown Track,9926,30,2025-03,2025-03-01
2025-03-30 01:57,Unknown Artist,Unknown Track,2925,30,2025-03,2025-03-01
2025-03-30 01:57,Usted Señalemelo,TRAS,179872,30,2025-03,2025-03-01
2025-03-30 02:00,Dillom,REALITY,163987,30,2025-03,2025-03-01
2025-03-30 02:03,Paco Amoroso,Switch,189909,30,2025-03,2025-03-01
2025-03-30 02:07,Kendrick Lamar,Die Hard,239026,30,2025-03,2025-03-01
2025-03-30 02:16,Martín Buscaglia,"Cerebro, Orgasmo, Envidia & Sofía",231744,30,2025-03,2025-03-01
2025-03-30 14:10,Unknown Artist,Unknown Track,11258,30,2025-03,2025-03-01
2025-03-30 14:14,Geordie Greep,Terra,207693,30,2025-03,2025-03-01
2025-03-30 20:49,Geordie Greep,Terra,50772,30,2025-03,2025-03-01
2025-03-30 20:50,Matt Duncan,Soft Times,100813,30,2025-03,2025-03-01
2025-03-30 20:54,Dante Spinetta,Starlight,229113,30,2025-03,2025-03-01
2025-03-30 20:55,Flamingosis,Groovin',27069,30,2025-03,2025-03-01
2025-03-30 20:55,Thundercat,No More Lies,1280,30,2025-03,2025-03-01
2025-03-30 20:59,L'Impératrice,Amour Ex Machina,243961,30,2025-03,2025-03-01
2025-03-30 21:03,Empire Of The Sun,We Are The People,267373,30,2025-03,2025-03-01
2025-03-30 21:08,L'Impératrice,Sweet & Sublime (feat. Erick the Architect),285793,30,2025-03,2025-03-01
2025-03-30 22:19,L'Impératrice,Voodoo?,238662,30,2025-03,2025-03-01
2025-03-30 23:15,Tortoise,Oganesson,0,30,2025-03,2025-03-01
2025-03-30 23:17,Tortoise,Oganesson,130,30,2025-03,2025-03-01
2025-03-30 23:17,Tortoise,Oganesson,4700,30,2025-03,2025-03-01
2025-03-30 23:22,Buena Vista Social Club,Chan Chan,80619,30,2025-03,2025-03-01
2025-03-30 23:33,Buena Vista Social Club,Chan Chan,174230,30,2025-03,2025-03-01
2025-03-30 23:38,Buena Vista Social Club,De Camino a la Vereda,302978,30,2025-03,2025-03-01
2025-03-31 16:53,Tortoise,Oganesson,0,31,2025-03,2025-03-01
2025-03-31 16:54,Buena Vista Social Club,El Cuarto de Tula,79879,31,2025-03,2025-03-01
2025-03-31 18:33,Buena Vista Social Club,El Cuarto de Tula,14620,31,2025-03,2025-03-01
2025-03-31 18:33,Tortoise,Oganesson,0,31,2025-03,2025-03-01
2025-03-31 18:36,Q,california girl,164480,31,2025-03,2025-03-01
2025-03-31 18:38,Q,after dark,115040,31,2025-03,2025-03-01
2025-03-31 18:41,Q,be with ya,177950,31,2025-03,2025-03-01
2025-03-31 19:46,Q,bad man,141156,31,2025-03,2025-03-01
2025-03-31 20:07,Q,bad man,42987,31,2025-03,2025-03-01
2025-03-31 20:11,Q,i'm a sad guy,233022,31,2025-03,2025-03-01
2025-03-31 20:17,Q,pretty woman,183918,31,2025-03,2025-03-01
2025-03-31 20:20,Q,moving on and on,155019,31,2025-03,2025-03-01
2025-03-31 20:24,Q,number one,212682,31,2025-03,2025-03-01
2025-03-31 20:27,Q,iloveu4real,170806,31,2025-03,2025-03-01
2025-03-31 20:32,Q,be brave,180000,31,2025-03,2025-03-01
2025-03-31 20:58,Q,Garage Rooftop,264910,31,2025-03,2025-03-01
2025-03-31 21:01,Free Nationals,Oslo (feat. Callum Connor & T.Nava),214429,31,2025-03,2025-03-01
2025-03-31 21:01,Adi Oasis,Serena - Feat. Samm Henshaw,1275,31,2025-03,2025-03-01
2025-03-31 21:01,Little Simz,Free,6016,31,2025-03,2025-03-01
2025-03-31 21:04,House of EL,The Start,167307,31,2025-03,2025-03-01
2025-03-31 21:08,Sunni Colón,Dream About You All Through The Night.,229310,31,2025-03,2025-03-01
2025-03-31 23:16,Q,Want,264145,31,2025-03,2025-03-01
2025-03-31 23:19,Adi Oasis,FourSixty - Feat. Aaron Taylor,41693,31,2025-03,2025-03-01
2025-03-31 23:19,Free Nationals,RENE (feat. Callum Connor),150240,31,2025-03,2025-03-01
2025-03-31 23:21,Souly Had,out for blood,124067,31,2025-03,2025-03-01
2025-03-31 23:22,Luke Titus,Sideline,68285,31,2025-03,2025-03-01
2025-03-31 23:26,Iron Maiden,Invaders - 2015 Remaster,202410,31,2025-03,2025-03-01
2025-03-31 23:42,Iron Maiden,Children of the Damned - 2015 Remaster,8048,31,2025-03,2025-03-01
2025-04-01 20:41,Iron Maiden,Children of the Damned - 2015 Remaster,266177,1,2025-04,2025-04-01
2025-04-01 22:07,Iron Maiden,The Prisoner - 2015 Remaster,361578,1,2025-04,2025-04-01
2025-04-01 23:13,Iron Maiden,22 Acacia Avenue - 2015 Remaster,489849,1,2025-04,2025-04-01
2025-04-01 23:18,Iron Maiden,The Number of the Beast - 2015 Remaster,289597,1,2025-04,2025-04-01
2025-04-01 23:21,Iron Maiden,Run to the Hills - 2015 Remaster,232546,1,2025-04,2025-04-01
2025-04-01 23:25,Iron Maiden,Gangland - 2015 Remaster,228202,1,2025-04,2025-04-01
2025-04-01 23:32,Iron Maiden,Hallowed Be Thy Name - 2015 Remaster,431093,1,2025-04,2025-04-01
2025-04-01 23:36,Sword,Children of Heaven,1551,1,2025-04,2025-04-01
2025-04-01 23:36,Iron Maiden,Wasted Years - 2015 Remaster,186785,1,2025-04,2025-04-01
2025-04-01 23:36,Led Zeppelin,Rock and Roll - Remaster,1925,1,2025-04,2025-04-01
2025-04-01 23:36,Mötley Crüe,Dr. Feelgood,1125,1,2025-04,2025-04-01
2025-04-01 23:36,Pantera,Mouth for War,11568,1,2025-04,2025-04-01
2025-04-01 23:36,Deep Purple,Highway Star - Remastered 2012,1248,1,2025-04,2025-04-01
2025-04-01 23:37,Iron Maiden,Wasting Love - 2015 Remaster,4442,1,2025-04,2025-04-01
2025-04-01 23:38,Mötley Crüe,Too Young to Fall in Love,2821,1,2025-04,2025-04-01
2025-04-01 23:38,Dio,Rainbow In The Dark,1354,1,2025-04,2025-04-01
2025-04-01 23:38,Sepultura,Territory,1514,1,2025-04,2025-04-01
2025-04-01 23:38,Iron Maiden,The Writing on the Wall,4645,1,2025-04,2025-04-01
